row_id,mturk_condition,backstory_condition,rewrite,marker_absolutist,marker_blame,marker_contempt,marker_mind_reading,marker_total,nvc_observation,nvc_feeling,nvc_need,nvc_request,nvc_empathy,nvc_total
140,negative,none,"I've been feeling a longing for more physical closeness between us lately, and I'd love it if we could talk about ways to feel more connected.",0,0,0,0,0,0,1,1,1,0,3
140,negative,pos,"I've been feeling a longing for more physical closeness lately, and I'd love to explore together what that might look like for both of us.",0,0,0,0,0,0,1,1,1,0,3
140,negative,neg,"I've been feeling a longing for more physical closeness lately, and I'd appreciate it if we could talk openly about what feels comfortable for each of us.",0,0,0,0,0,0,1,1,1,0,3
130,negative,none,I'm curious and a little uncertain about this — could you help me understand how it works?,0,0,0,0,0,0,1,1,1,0,3
130,negative,pos,"I find what you're describing appealing, and I'm also feeling uncertain — could you help me understand it better so I feel more at ease?",0,0,0,0,0,0,1,1,1,0,3
130,negative,neg,"I find that appealing, and I'm also feeling uncertain about it — could you walk me through how it works so I can feel more confident?",0,0,0,0,0,0,1,1,1,0,3
164,negative,none,"I'm glad to help, and I also care about you feeling supported by others — I'd love for you to feel comfortable leaning on people around you too.",0,0,0,0,0,0,1,1,0,1,3
164,negative,pos,"I'm happy to help, and I also value you feeling supported by a wider network — would you be open to exploring other sources of support as well?",0,0,0,0,0,0,1,1,1,0,3
164,negative,neg,"I'm happy to assist, and I also want you to feel comfortable relying on others — could we talk about building more support around you?",0,0,0,0,0,0,1,1,1,1,4
8,negative,none,"When I hear my past mistakes brought up, I feel hurt and defensive — I need to feel that my efforts are recognized, not used against me.",0,0,0,0,0,1,1,1,0,0,3
8,negative,pos,"When my past mistakes are brought up, I feel hurt — I need to feel that my track record and judgment are respected, not dismissed.",0,0,0,0,0,1,1,1,0,0,3
8,negative,neg,"When my past mistakes are referenced, I feel stung — I need to feel that my experience is acknowledged fairly, not used to undermine me.",0,0,0,0,0,1,1,1,0,0,3
154,negative,none,I'm feeling overwhelmed by this mess and would really appreciate your help sorting it out — could we tackle it together?,0,0,0,0,0,0,1,1,1,0,3
154,negative,pos,I'm feeling a bit overwhelmed right now and would love it if we could work on this together — would you be up for lending a hand?,0,0,0,0,0,0,1,1,1,0,3
154,negative,neg,I'm feeling overwhelmed by this and would genuinely appreciate your help — could we work on it together?,0,0,0,0,0,0,1,1,1,0,3
150,negative,none,I would have appreciated a heads-up about this — it would help me feel more prepared when plans change.,0,0,0,0,0,0,1,1,0,0,2
150,negative,pos,I would have appreciated a heads-up — could we agree to let each other know in advance when something unexpected comes up?,0,0,0,0,0,0,1,1,1,0,3
150,negative,neg,"I would have appreciated knowing about this beforehand — I need to feel included and informed when things shift, so could we try to give each other a heads-up?",0,0,0,0,0,0,1,1,1,0,3
165,negative,none,"I sometimes feel like I'm not contributing enough to us, and I'd love to hear honestly how you're feeling about our relationship.",0,0,0,0,0,0,1,1,1,0,3
165,negative,pos,"I sometimes feel uncertain about my value in our relationship, and I'd love to hear from you honestly — do you feel we're in a good place together?",0,0,0,0,0,0,1,1,1,0,3
165,negative,neg,I sometimes feel unimportant and unsure of my place in our relationship — I'd really value hearing from you whether you feel we're good together.,0,0,0,0,0,0,1,1,1,0,3
149,negative,none,I'm feeling frustrated and I need more consistency from you — could we talk about what's getting in the way?,0,0,0,0,0,0,1,1,1,0,3
149,negative,pos,"I'm feeling frustrated lately, and I need more consistency and follow-through in our relationship — could we talk about what might help?",0,0,0,0,0,0,1,1,1,0,3
149,negative,neg,I'm feeling frustrated and I need more honesty and reliability from you — could we sit down and talk about what's been happening between us?,0,0,0,0,0,0,1,1,1,0,3
125,negative,none,"When I notice something important is missing again, I feel worried — would you be open to talking about a system that helps us both keep track of things?",0,0,0,0,0,1,1,1,1,0,4
125,negative,pos,"When I notice something has gone missing again, I feel concerned — could we talk about what might help keep track of things more easily?",0,0,0,0,0,1,1,1,1,0,4
125,negative,neg,"When I notice your things have gone missing again, I feel worried — could we find a way together to help keep track of your belongings?",0,0,0,0,0,1,1,1,1,0,4
21,negative,none,"I want to be clear — this is an allergy, not a preference, and it's important to me that it's taken seriously.",0,0,0,0,0,1,0,1,0,0,2
