id,condition,relationship_subtype,relationship_tag,backstory_used_in_mturk,positive_backstory,negative_backstory,seed_turn_index,seed_selection_method,seed_speaker_guess,seed_utterance,orig_vc_count,orig_vc_labels
140,negative,couple,positive|couple,"Prior to his relationship with Gwen, Oliver was in a long-term relationship with a woman who shared his passion for conforming to societal standards. They showcased a perfect picture of a couple, always together, always engaging in public displays of affection. However, the relationship prematurely ended when she suddenly moved away for personal reasons. Ever since then, Oliver has struggled to cultivate deeper connections with people. Instead, he tends to communicate in a way that might be perceived as too forward or overly demanding, an almost desperate attempt to recreate the familiar dynamics of his previous relationship. This masking behavior often translates into him pushing his partners too soon than they are comfortable with for greater physical intimacy.","After a boring, uneventful marriage that lasted for 15 years, Oliver found himself divorced and single without an emotional companion. His previous partner never inspired a desire for deep emotional connection or physical intimacy. However, meeting Gwen changed his perspective. She was everything his ex-wife was not; she was empathetic, considerate, and compassionate, and Oliver, for the first time, felt the urge to experience romantic passion and strong emotional companionship. On the other hand, since the divorce, Oliver developed an analytic and calculated approach to relationship matters, trying to avoid impulsive decisions that could hurt him again. He began to value social standards and tried to conform to them, allowing him to manage his emotions better and approach sensitive topics with tact and understanding.","Prior to his relationship with Gwen, Oliver was in a long-term relationship with a woman who shared his passion for conforming to societal standards. They showcased a perfect picture of a couple, always together, always engaging in public displays of affection. However, the relationship prematurely ended when she suddenly moved away for personal reasons. Ever since then, Oliver has struggled to cultivate deeper connections with people. Instead, he tends to communicate in a way that might be perceived as too forward or overly demanding, an almost desperate attempt to recreate the familiar dynamics of his previous relationship. This masking behavior often translates into him pushing his partners too soon than they are comfortable with for greater physical intimacy.",6,fallback,(Oliver),"Lately, well...I feel like maybe we could be closer. You know, physically.",1,Demand
130,negative,couple,positive|couple,"Jasmine and Isabelle have been together for three years. Jasmine, a stern traditionalist, has always been bothered by Isabelle's whimsical ways and fears Isabelle is too immature and might never grow up. Due to a past relationship that ended terribly for Jasmine due to the partner's secretive nature, she has developed an unhealthy obsession with truth and honesty, which often borders on paranoia. She started suspecting Isabelle of hiding something from her when she started her part-time job at the coffee shop. Jasmine's suspicions grew when Isabelle began making less time for her, causing her to feel insecure and prompting her to question and second guess Isabelle's actions constantly. While her intention was to protect herself from possible betrayal, her persistent mistrust and inability to let Isabelle be herself started straining their relationship.","Jasmine, a strict yoga instructor, has always held reverence for silence and tranquility. Growing up in a traditional household closely tied to the Buddhist philosophy, she was taught the power of silence and calmness early on. This reverence was further magnified as she embraced yoga. Throughout her life, she had her trust broken multiple times, the most significant one being her ex-boyfriend who not only cheated on her but also faked a serious illness to escape the relationship. This event left a deep scar in her heart, causing her to become overly cautious about signs of dishonesty. She has a hard time trusting people, including her girlfriend, Isabelle.","Jasmine and Isabelle have been together for three years. Jasmine, a stern traditionalist, has always been bothered by Isabelle's whimsical ways and fears Isabelle is too immature and might never grow up. Due to a past relationship that ended terribly for Jasmine due to the partner's secretive nature, she has developed an unhealthy obsession with truth and honesty, which often borders on paranoia. She started suspecting Isabelle of hiding something from her when she started her part-time job at the coffee shop. Jasmine's suspicions grew when Isabelle began making less time for her, causing her to feel insecure and prompting her to question and second guess Isabelle's actions constantly. While her intention was to protect herself from possible betrayal, her persistent mistrust and inability to let Isabelle be herself started straining their relationship.",3,turn_problematic_avg,(Jasmine),"Can't deny, that sounds appealing. But, is this like a magic thing?",1,Moralistic Judgment
164,negative,couple,positive|couple,"Imelda had a previous romantic relationship with a successful neurosurgeon, Evan. During their relationship, Evan was consistently prioritising his work over Imelda, which often left her feeling undervalued and overlooked. Realizing this pattern was hurting her self-worth, Imelda did the difficult but necessary work of ending their relationship and moving on. Now in a relationship with Gwen, Imelda has carried over her personal baggage from her previous relationship. Unconsciously, she has become overly analytical and somewhat critical when it comes to Gwen's work, in an attempt to not feel neglected and instead feel active and involved in her partner's life. This past relationship trauma and overcompensation dominates her current manner of interacting in her relationship with Gwen, thereby leading to a pattern of potentially conflict inducing and inappropriate communication.","Imelda grew up in a household where her parents both held high-prestige jobs in their respective fields, and therefore, had exacting standards and high expectations for their only child. As she navigated her way through school, she cultivated both a strong analytical mind and a knack for problem-solving. She consistently sought to achieve the best results and was always encouraged, even expected, to share her insights and expertise in family discussions. When Imelda went to university to study astrophysics, she found that many of her peers relied heavily on her analytical skills for various group projects. Over time, she enjoyed the role of an advisor, being meticulous, and offering her critique to improve the overall quality of work. In her romantic relationship with Gwen, Imelda carries the same habit. She uses her analytical skills to give Gwen honest feedback, believing it would help pursue Gwen's passion more effectively.","Imelda had a previous romantic relationship with a successful neurosurgeon, Evan. During their relationship, Evan was consistently prioritising his work over Imelda, which often left her feeling undervalued and overlooked. Realizing this pattern was hurting her self-worth, Imelda did the difficult but necessary work of ending their relationship and moving on. Now in a relationship with Gwen, Imelda has carried over her personal baggage from her previous relationship. Unconsciously, she has become overly analytical and somewhat critical when it comes to Gwen's work, in an attempt to not feel neglected and instead feel active and involved in her partner's life. This past relationship trauma and overcompensation dominates her current manner of interacting in her relationship with Gwen, thereby leading to a pattern of potentially conflict inducing and inappropriate communication.",9,turn_problematic_avg,(Imelda),"I'd be happy to assist, but remember it's okay to rely on others too, babe.",2,Comparison|Moralistic Judgment
8,negative,couple,positive|couple,"Oliver and Liam have been in a well-established relationship for a decade, with their bond deeply rooted in their shared career history. However, Oliver's role model from the force was his father, a decorated yet overly reckless officer who constantly brushed off safety measures in favor of action. His father's untimely demise on duty did little to help Oliver reassess his own choices, instead filling him with a need to live up to what he perceived as his father's legacy. Oliver's continuous dismissal of Liam's concerns and his intermittent tracks into danger is a misguided way of proving himself to a ghost, breeding an unhealthy dynamic with Liam. His constant belittlement of Liam's experiences and dismissal of any advice subtly transforms Oliver's character into someone stubbornly toxic, unable to accept guidance or concern from his partner in a bid for an outdated ideal of valor.","Oliver grew up as an independent and strong-minded individual. Raised by a single, hardworking mother who was frequently absent due to her multiple jobs, he learned to rely on himself from a young age. At 13, when the neighborhood bullies picked on him, he defended himself without any help. The experiences only hardened his resolve to shoulder his own burdens and never to be a liability to anyone. Later, as a police officer, he proved to be a skilled and highly competent professional. His colleagues respected him for his judgment calls, even in the direst situations. Amid throwball games and barbeque nights, they'd often joke about his 'superhuman intuition.' Having handled life's adversities alone, Oliver developed a trust in his abilities and believed in handling his problems himself, without leaning on anyone else.","Oliver and Liam have been in a well-established relationship for a decade, with their bond deeply rooted in their shared career history. However, Oliver's role model from the force was his father, a decorated yet overly reckless officer who constantly brushed off safety measures in favor of action. His father's untimely demise on duty did little to help Oliver reassess his own choices, instead filling him with a need to live up to what he perceived as his father's legacy. Oliver's continuous dismissal of Liam's concerns and his intermittent tracks into danger is a misguided way of proving himself to a ghost, breeding an unhealthy dynamic with Liam. His constant belittlement of Liam's experiences and dismissal of any advice subtly transforms Oliver's character into someone stubbornly toxic, unable to accept guidance or concern from his partner in a bid for an outdated ideal of valor.",9,turn_problematic_avg,Oliver,"I guess that makes you the expert, huh, since you've had your fair share of glaring errors in the past?",2,Comparison|Moralistic Judgment
154,negative,couple,positive|couple,"Years ago, Hendrick befriended Ethan under the false pretense of sharing similar intellectual interests. Always an opportunist, Hendrick saw potential in Ethan, a gifted yet introverted software developer comfortable in his solitary pursuits. Hendrick gradually started to fill Ethan's world, not with shared interests but selfish ulterior motives. When Ethan lost his parents in a tragic accident, Hendrick moved to the role of a partner, turning Ethan's vulnerability to his advantage. Hendrick's true nature of a hedonist and conformist started to appear as he would often disregard Ethan's interests to establish dominance in the relationship, using his culinary skills to distract Ethan from his manipulations.","Born into a family of stern, rigorous chefs, Hendrick was always under constant pressure to succeed, particularly since he was expected to inherit the family restaurant. As he pursued his culinary education, he became painfully aware of the substantial gap between his skills and the lofty expectations. Ultimately, he decided to cut corners. When he relocated to a new city, he managed to secure a position in a prestigious restaurant by faking his credentials. Over time, he developed a serious insecurities about his skills and dreaded others discovering his secret. This greatly contributed to his down-to-earth, simplistic approach to life and cooking, and explains why he is always on the look for 'found' or 'old' recipes to try, rather than creating new ones. Meanwhile, he started dating Ethan, a young software developer who, although bemused by Hendrick's odd culinary concoctions, became his biggest supporter. Ethan helped Hendrick set up his popular monthly wine tasting nights and constantly motivated him to gain confidence in his skills. Over time, Hendrick began to appreciate the comfortable companionship and silent understanding they shared, including their agreements about distribution of household chores.","Years ago, Hendrick befriended Ethan under the false pretense of sharing similar intellectual interests. Always an opportunist, Hendrick saw potential in Ethan, a gifted yet introverted software developer comfortable in his solitary pursuits. Hendrick gradually started to fill Ethan's world, not with shared interests but selfish ulterior motives. When Ethan lost his parents in a tragic accident, Hendrick moved to the role of a partner, turning Ethan's vulnerability to his advantage. Hendrick's true nature of a hedonist and conformist started to appear as he would often disregard Ethan's interests to establish dominance in the relationship, using his culinary skills to distract Ethan from his manipulations.",0,turn_problematic_avg,Hendrick,"Can you lend me a hand here, dear? This mess won't sort itself out.",2,Demand|Denial of Responsibility
150,negative,couple,positive|couple,"Sophia hasn't been honest with Isabella about her true feelings, despite their seemingly healthy relationship. Sophia is in love with her best friend's husband, but she's been using Isabella as a cover for her true emotions due to societal expectations. Being a lover of thrills and excitement, she's been living off the rush from her complicated love triangle. Aside from this, Sophia is also not truly fond of animals the way Isabella is, preferring to spend her time outdoors engaging in more active, adrenaline-filled pursuits. Her validation of Isabella's mini zoo might be a way of diverting attention from her own secret agenda, which could potentially explode once her true feelings are revealed.","Sophia, despite her high-energy and spontaneous lifestyle, had a hardship-filled childhood. Born into a family of avid animal lovers, she grew up surrounded by all sorts of pets in her house. Her parents ran a makeshift animal shelter out of their garage and would often bring home injured or abandoned animals. They would nurse them back to health before finding them loving homes. Sophia’s parents taught her the importance of kindness and empathy towards animals and fellow human beings. This upbringing instilled in her a deep respect for nurturing life and shaped her non-confrontational nature. As she ventured into adulthood these values stayed with her, which helped her adjust to Isabella's similar passion for animals.","Sophia hasn't been honest with Isabella about her true feelings, despite their seemingly healthy relationship. Sophia is in love with her best friend's husband, but she's been using Isabella as a cover for her true emotions due to societal expectations. Being a lover of thrills and excitement, she's been living off the rush from her complicated love triangle. Aside from this, Sophia is also not truly fond of animals the way Isabella is, preferring to spend her time outdoors engaging in more active, adrenaline-filled pursuits. Her validation of Isabella's mini zoo might be a way of diverting attention from her own secret agenda, which could potentially explode once her true feelings are revealed.",6,turn_problematic_avg,(Sophia),"Nah. Well, a heads-up would've been nice, I guess.",2,Deserve Thinking|Moralistic Judgment
165,negative,couple,positive|couple,"Oliver and Liam started off as strong partners, but over time Oliver's highy organized and disciplined persona started to take a toll on their relationship. He began implementing rigid schedules, expecting Liam to follow them religiously. Oliver, not used to expressing his feelings, often brushed off Liam's stress and anxiety about these schedules, claiming that it was for their 'benefit'. Furthermore, behind close doors, Oliver would often belittle Liam's line of thought, asserting that his way was superior. Oliver's lack of emotional understanding and his dismissive attitude towards Liam's feelings fostered a disturbing dynamic where Liam often felt devalued and unimportant within their relationship.","Back in the day, Oliver and Liam worked together as police officers and developed a strong bond. While both stepped up onto their respective paths, they got together, forming a police-duo-force couple. Despite his stern exterior, Oliver's conscientiousness led him to be the calm, understanding partner, always ensuring the emotional safety of his partner. When Liam retired early due to the emotional strain the job put on him, his self-worth took a toll, making him doubt his value in their relationship. Aware of this, Oliver learned to navigate these episodes of insecurity, reassuring Liam during his times of doubt and validating his feelings instead of dismissing them, not letting the shaky moments affect the solidity of their relationship.","Oliver and Liam started off as strong partners, but over time Oliver's highy organized and disciplined persona started to take a toll on their relationship. He began implementing rigid schedules, expecting Liam to follow them religiously. Oliver, not used to expressing his feelings, often brushed off Liam's stress and anxiety about these schedules, claiming that it was for their 'benefit'. Furthermore, behind close doors, Oliver would often belittle Liam's line of thought, asserting that his way was superior. Oliver's lack of emotional understanding and his dismissive attitude towards Liam's feelings fostered a disturbing dynamic where Liam often felt devalued and unimportant within their relationship.",3,turn_problematic_avg,(Liam),Do you ever wonder if you'd be better off without me?,0,
149,negative,couple,positive|couple,"In their relationship, Jaxon has a history of frequently lying to Calista about small and large matters. His investigative journalist career often contributes to this, as he often resorts to deception in order to extract information. Additionally, in the pursuit of prestige and power, he once fabricated evidence to expose a corrupt politician, almost jeopardizing his relationship with Calista when she confronted him about it. Jaxon feels threatened by Calista's individuality and freedom, often seeking to control her under the guise of bringing stability to her life. Despite being caught in multiple lies, he continues to skirt around issues, lean on vague statements, and overall manipulate Calista.","Jaxon grew up in a tumultuous home racked by socio-economic struggles. With a father in and out of jail and a mother working double shifts just to fill the table, he learned the harsh difficulties life can sometimes present. His resilience saw him through a tough childhood and adolescence, using his past as fuel to chart a path of success in the field of journalism. However, the strains of his past still occasionally haunt him, making his demeanor sometimes come off as erratic and his humor a bit off-putting. But despite this, he's a man who appreciates everything he has, especially Calista, who brought color to the grey shades of his life. He finds it aberrant when Calista sarcastically asks for more effort from him. Not because he's defensive, but because he has been trying, every day, to be the best he could be for himself and for her, despite his history's lingering, haunting effects.","In their relationship, Jaxon has a history of frequently lying to Calista about small and large matters. His investigative journalist career often contributes to this, as he often resorts to deception in order to extract information. Additionally, in the pursuit of prestige and power, he once fabricated evidence to expose a corrupt politician, almost jeopardizing his relationship with Calista when she confronted him about it. Jaxon feels threatened by Calista's individuality and freedom, often seeking to control her under the guise of bringing stability to her life. Despite being caught in multiple lies, he continues to skirt around issues, lean on vague statements, and overall manipulate Calista.",5,turn_problematic_avg,(Calista),"Try more often, won't you?",1,Demand
125,negative,couple,positive|couple,"Benjamin and Gwen have been living together for a couple of years. Gwen, inherently introvert and sensitive, often struggles to get her boyfriend Benjamin to understand her need for personal space. Benjamin, although an environmental activist with strong societal values, reveals an overbearing and controlling side when at home. He disregards Gwen's need for personal space and launches invasive initiatives like completely rearranging the house, often dislocating Gwen's belongings without asking her first. Benjamin’s attempts to help come across more as imposing his will onto Gwen. His playful comments on her habits are often laced with subtle disapproval, which adds to the tension. This incessant infringement upon her personal space and casual disregard for her feelings lead to an imbalance in their relationship. Gwen feels unheard and overwhelmed, her personal space constantly under siege.","Growing up, Benjamin spent a lot of time around his hypocritical oil tycoon father who cared little about Benjamin's interests and viewpoints. This cold relationship shaped Benjamin into an assertive and vocal individual who would stand up for his own beliefs and values. At college, he became fascinated with environmental science and acknowledged the damage his father’s business was causing to the environment. This transformative phase set the roots for his environmental activism and rejection of his family fortune. His stubborn insistence on questioning his surroundings has translated into an attentive and patient nature when dealing with others, noticeably with his girlfriend, Gwen.","Benjamin and Gwen have been living together for a couple of years. Gwen, inherently introvert and sensitive, often struggles to get her boyfriend Benjamin to understand her need for personal space. Benjamin, although an environmental activist with strong societal values, reveals an overbearing and controlling side when at home. He disregards Gwen's need for personal space and launches invasive initiatives like completely rearranging the house, often dislocating Gwen's belongings without asking her first. Benjamin’s attempts to help come across more as imposing his will onto Gwen. His playful comments on her habits are often laced with subtle disapproval, which adds to the tension. This incessant infringement upon her personal space and casual disregard for her feelings lead to an imbalance in their relationship. Gwen feels unheard and overwhelmed, her personal space constantly under siege.",10,turn_problematic_avg,(Benjamin),You lost another one? How on earth do you manage that?,0,
21,negative,couple,positive|couple,"Even though they have been in a relationship for nearly a decade, Oliver has always had difficulty connecting emotionally with Liam due to his highly pragmatic, systematic approach to life. Because of this emotional disconnect, Oliver frequently dismisses Liam's concerns as unimportant or overdramatic. Despite being a conscientious person at work, in a more personal sphere, Oliver often disregards details and nuances, preferring to view situations through his 'black and white' lens. This behaviour, although unintentional, often leads to misunderstandings and arguments, wherein the contamination of food due to a partner's allergy is then downplayed or ignored, causing severe harm to their relationship. Oliver's dismissive attitude and neglect of Liam's needs expressed over time has formed a significant strain and hassles for them, escalating even to them considering ending things.","Oliver wasn't always this dismissive. A few years ago, he found a deep love for cooking. He'd spend hours mastering recipes, trying to perfect the dishes that brought a smile to Liam's face. Oliver had become more than familiar with the local market and the fishmongers that occupied the sailor avenue. One day, he happened to overhear a conversation about some locals disputing the legitimacy of food allergies, arguing it was a way for high society to cherry-pick their meals. At first, he dismissed these misguided assumptions. It wasn't until Oliver saw Liam indulging in a food he had previously claimed to be allergic to, that he began to entertain these notions. Confused and feeling misled, he broached the subject with Liam but received a curt, defensive response. Ever since, Oliver questioned the sincerity of Liam's allergies, creating tension over something that should've drawn them closer - their shared meal times.","Even though they have been in a relationship for nearly a decade, Oliver has always had difficulty connecting emotionally with Liam due to his highly pragmatic, systematic approach to life. Because of this emotional disconnect, Oliver frequently dismisses Liam's concerns as unimportant or overdramatic. Despite being a conscientious person at work, in a more personal sphere, Oliver often disregards details and nuances, preferring to view situations through his 'black and white' lens. This behaviour, although unintentional, often leads to misunderstandings and arguments, wherein the contamination of food due to a partner's allergy is then downplayed or ignored, causing severe harm to their relationship. Oliver's dismissive attitude and neglect of Liam's needs expressed over time has formed a significant strain and hassles for them, escalating even to them considering ending things.",7,fallback,Liam,"Picky? I'm allergic, Ollie. There's a difference.",0,
